Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary,Year,Month,Hour,Month_sin,Month_cos,Hour_sin,Hour_cos,Wind Bearing (degrees)_sin,Wind Bearing (degrees)_cos,Heavy_Cloud,New_Summary
Partly Cloudy,rain,8.28888888888889,5.94444444444445,0.83,14.1036,269,15.8263,0,1016.41,Partly cloudy throughout the day.,2006,4,1,0.866025403784439,-0.5,0.269796771157024,0.962917287347799,-0.999990427614762,-0.004375463272152,False,Light Cloud
Partly Cloudy,rain,15.3888888888889,15.3888888888889,0.6,14.4095,251,11.27,0,1016.15,Partly cloudy throughout the day.,2006,4,14,0.866025403784439,-0.5,-0.631087944326053,-0.77571129070442,-0.949420897984782,-0.314006303232549,False,Light Cloud
Mostly Cloudy,rain,21.05,21.05,0.4,26.9031,187,10.3523,0,1011.44,Mostly cloudy throughout the day.,2006,4,12,0.866025403784439,-0.5,-0.136166649096246,-0.990685946036331,-0.130887687236906,-0.991397202603363,True,Heavy Cloud / Rain
Overcast,rain,14.2555555555556,14.2555555555556,0.59,16.5025,168,14.9569,0,1007.89,Mostly cloudy throughout the day.,2006,4,21,0.866025403784439,-0.5,-0.519583950035434,0.854419404546488,0.199915768115068,-0.979813087103332,True,Heavy Cloud / Rain
Overcast,rain,11.25,11.25,0.83,11.3344,152,15.8263,0,1007.01,Foggy in the evening.,2006,4,1,0.866025403784439,-0.5,0.269796771157024,0.962917287347799,0.462934090562797,-0.886392705179141,True,Heavy Cloud / Rain
Partly Cloudy,rain,16.1833333333333,16.1833333333333,0.73,0.644,207,10.7548,0,1005.97,Foggy in the evening.,2006,4,9,0.866025403784439,-0.5,0.631087944326053,-0.77571129070442,-0.462934090562796,-0.886392705179142,False,Light Cloud
Mostly Cloudy,rain,17.3611111111111,17.3611111111111,0.71,7.8246,341,11.0768,0,1005.1,Foggy in the evening.,2006,4,12,0.866025403784439,-0.5,-0.136166649096246,-0.990685946036331,-0.309849141174302,0.95078573280921,True,Heavy Cloud / Rain
Breezy and Mostly Cloudy,rain,7.13333333333334,2.68888888888889,0.8,32.1678,349,11.2056,0,1004.26,Foggy overnight and breezy in the morning.,2006,4,7,0.866025403784439,-0.5,0.94226092211882,-0.334879612170986,-0.174126935338113,0.984723215116693,True,Heavy Cloud / Rain
Overcast,rain,9.05,9.05,0.65,3.2522,177,11.2056,0,1009.98,Overcast throughout the day.,2006,4,14,0.866025403784439,-0.5,-0.631087944326053,-0.77571129070442,0.043740812396988,-0.999042912657335,True,Heavy Cloud / Rain
Overcast,rain,7.98333333333333,6.81111111111111,0.75,7.3416,172,9.982,0,1010.39,Overcast throughout the day.,2006,4,17,0.866025403784439,-0.5,-0.997668769190539,-0.068242413364671,0.130887687236906,-0.991397202603363,True,Heavy Cloud / Rain
Mostly Cloudy,rain,10.05,10.05,0.76,9.6922,231,11.2056,0,1014.67,Mostly cloudy throughout the day.,2006,4,7,0.866025403784439,-0.5,0.94226092211882,-0.334879612170986,-0.784164320340785,-0.62055323599549,True,Heavy Cloud / Rain
Mostly Cloudy,rain,12.7,12.7,0.63,20.3343,214,11.0285,0,1014.8,Mostly cloudy throughout the day.,2006,4,9,0.866025403784439,-0.5,0.631087944326053,-0.77571129070442,-0.567787718624338,-0.823175015764795,True,Heavy Cloud / Rain
Partly Cloudy,rain,13.9333333333333,13.9333333333333,0.58,23.5865,222,11.27,0,1014.47,Mostly cloudy throughout the day.,2006,4,10,0.866025403784439,-0.5,0.398401089846241,-0.917211301505453,-0.677112125077616,-0.735879861168163,False,Light Cloud
Partly Cloudy,rain,15.0944444444444,15.0944444444444,0.59,22.2985,241,11.27,0,1014.16,Mostly cloudy throughout the day.,2006,4,11,0.866025403784439,-0.5,0.136166649096247,-0.990685946036331,-0.880239843903818,-0.474529047798112,False,Light Cloud
Partly Cloudy,rain,16.1,16.1,0.56,14.8281,215,11.1251,0,1012.38,Mostly cloudy throughout the day.,2006,4,16,0.866025403784439,-0.5,-0.94226092211882,-0.334879612170986,-0.582107158030027,-0.81311208118574,False,Light Cloud
Mostly Cloudy,rain,13.85,13.85,0.64,11.5598,231,11.4471,0,1013.42,Mostly cloudy throughout the day.,2006,4,18,0.866025403784439,-0.5,-0.979084087682323,0.203456013052633,-0.784164320340785,-0.62055323599549,True,Heavy Cloud / Rain
Mostly Cloudy,rain,10.4444444444444,10.4444444444444,0.83,2.6404,63,15.8746,0,1014.75,Mostly cloudy throughout the day.,2006,4,22,0.866025403784439,-0.5,-0.269796771157025,0.962917287347799,0.892392840339721,0.451259369443345,True,Heavy Cloud / Rain
Partly Cloudy,rain,12.1055555555556,12.1055555555556,0.72,13.1698,310,9.982,0,1019.83,Mostly cloudy throughout the day.,2006,4,7,0.866025403784439,-0.5,0.94226092211882,-0.334879612170986,-0.756270303917195,0.654259296772306,False,Light Cloud
Mostly Cloudy,rain,17.8055555555556,17.8055555555556,0.43,11.0124,175,10.3523,0,1018.48,Mostly cloudy throughout the day.,2006,4,15,0.866025403784439,-0.5,-0.816969893010442,-0.576680322114867,0.078677193303368,-0.99690014507668,True,Heavy Cloud / Rain
Overcast,rain,12.7277777777778,12.7277777777778,0.67,13.3791,149,14.9569,0,1017.36,Mostly cloudy throughout the day.,2006,4,21,0.866025403784439,-0.5,-0.519583950035434,0.854419404546488,0.508815428782494,-0.860875635288215,True,Heavy Cloud / Rain
Overcast,rain,12.2,12.2,0.59,14.168,141,15.8263,0,1014.79,Mostly cloudy throughout the day.,2006,4,1,0.866025403784439,-0.5,0.269796771157024,0.962917287347799,0.623978378003837,-0.781441606125307,True,Heavy Cloud / Rain
Mostly Cloudy,rain,11.1333333333333,11.1333333333333,0.77,15.4882,150,9.982,0,1013.27,Mostly cloudy throughout the day.,2006,4,5,0.866025403784439,-0.5,0.979084087682323,0.203456013052634,0.49367130363771,-0.869648574979942,True,Heavy Cloud / Rain
Mostly Cloudy,rain,18.8611111111111,18.8611111111111,0.56,23.5382,250,11.27,0,1010.99,Mostly cloudy throughout the day.,2006,4,11,0.866025403784439,-0.5,0.136166649096247,-0.990685946036331,-0.943780060746493,-0.330574041535851,True,Heavy Cloud / Rain
Mostly Cloudy,rain,17.35,17.35,0.57,19.5615,295,11.3988,0,1010.69,Mostly cloudy throughout the day.,2006,4,15,0.866025403784439,-0.5,-0.816969893010442,-0.576680322114867,-0.900153663547366,0.435572476176187,True,Heavy Cloud / Rain
Mostly Cloudy,rain,16.0666666666667,16.0666666666667,0.67,21.8155,280,11.2056,0,1010.86,Mostly cloudy throughout the day.,2006,4,16,0.866025403784439,-0.5,-0.94226092211882,-0.334879612170986,-0.982352781163204,0.187037465072958,True,Heavy Cloud / Rain
Mostly Cloudy,rain,12.3722222222222,12.3722222222222,0.86,7.2933,239,14.8764,0,1012.33,Mostly cloudy throughout the day.,2006,4,21,0.866025403784439,-0.5,-0.519583950035434,0.854419404546488,-0.863093697875933,-0.505043828481101,True,Heavy Cloud / Rain
Partly Cloudy,rain,13.5388888888889,13.5388888888889,0.75,11.8657,305,9.982,0,1013.23,Partly cloudy throughout the day.,2006,4,6,0.866025403784439,-0.5,0.997668769190539,-0.068242413364671,-0.81055730927324,0.585659327923432,False,Light Cloud
Mostly Cloudy,rain,16.2,16.2,0.62,16.3093,309,11.27,0,1013.02,Partly cloudy throughout the day.,2006,4,10,0.866025403784439,-0.5,0.398401089846241,-0.917211301505453,-0.767604679763283,0.640923595762792,True,Heavy Cloud / Rain
Mostly Cloudy,rain,18.4055555555556,18.4055555555556,0.54,19.0785,297,15.3594,0,1012.55,Partly cloudy throughout the day.,2006,4,12,0.866025403784439,-0.5,-0.136166649096246,-0.990685946036331,-0.884358669176011,0.466808037905556,True,Heavy Cloud / Rain
Mostly Cloudy,rain,15.1388888888889,15.1388888888889,0.61,10.8997,310,9.982,0,1011.5,Partly cloudy throughout the day.,2006,4,17,0.866025403784439,-0.5,-0.997668769190539,-0.068242413364671,-0.756270303917195,0.654259296772306,True,Heavy Cloud / Rain
Mostly Cloudy,rain,13.25,13.25,0.69,4.7173,325,9.982,0,1011.76,Partly cloudy throughout the day.,2006,4,18,0.866025403784439,-0.5,-0.979084087682323,0.203456013052633,-0.560562503256322,0.828112117978602,True,Heavy Cloud / Rain
Partly Cloudy,rain,6.13888888888889,6.13888888888889,0.96,3.3488,284,4.1216,0,1012.44,Partly cloudy until night.,2006,4,2,0.866025403784439,-0.5,0.519583950035434,0.854419404546488,-0.966863117245648,0.255295343690458,False,Light Cloud
Partly Cloudy,rain,6.47222222222222,6.47222222222222,0.95,2.9946,283,4.7656,0,1012.62,Partly cloudy until night.,2006,4,3,0.866025403784439,-0.5,0.730835964278124,0.682553143218654,-0.971182965557763,0.238335157730515,False,Light Cloud
Mostly Cloudy,rain,19.0111111111111,19.0111111111111,0.53,4.7978,33,11.3988,0,1011.4,Partly cloudy until night.,2006,4,15,0.866025403784439,-0.5,-0.816969893010442,-0.576680322114867,0.545983847636132,0.837795701899004,True,Heavy Cloud / Rain
Overcast,rain,14.5111111111111,14.5111111111111,0.75,6.3756,47,14.9569,0,1012.09,Partly cloudy until night.,2006,4,21,0.866025403784439,-0.5,-0.519583950035434,0.854419404546488,0.732910137808237,0.680325458804763,True,Heavy Cloud / Rain
Overcast,rain,12.8,12.8,0.85,14.4256,31,14.9086,0,1010.07,Mostly cloudy until night.,2006,4,2,0.866025403784439,-0.5,0.519583950035434,0.854419404546488,0.516329333901553,0.856390109093267,True,Heavy Cloud / Rain
Overcast,rain,12.1722222222222,12.1722222222222,0.8,20.3826,11,11.27,0,1010.41,Mostly cloudy until night.,2006,4,7,0.866025403784439,-0.5,0.94226092211882,-0.334879612170986,0.191333923192564,0.981525002145,True,Heavy Cloud / Rain
Mostly Cloudy,rain,17.8277777777778,17.8277777777778,0.69,14.6188,19,11.2056,0,1009.47,Mostly cloudy until night.,2006,4,14,0.866025403784439,-0.5,-0.631087944326053,-0.77571129070442,0.32644140216099,0.945217441097638,True,Heavy Cloud / Rain
Overcast,rain,13.2555555555556,13.2555555555556,0.93,3.1395,228,8.05,0,1011.23,Mostly cloudy until night.,2006,4,18,0.866025403784439,-0.5,-0.979084087682323,0.203456013052633,-0.75051602657153,-0.660852248130611,True,Heavy Cloud / Rain
Mostly Cloudy,rain,10.6222222222222,10.6222222222222,0.79,14.0231,160,15.8263,0,1015.41,Partly cloudy throughout the day.,2006,4,23,0.866025403784439,-0.5,-2.44929359829471E-16,1,0.334700352146561,-0.942324611942704,True,Heavy Cloud / Rain
Partly Cloudy,rain,9.97777777777778,8.99444444444444,0.84,8.0017,151,11.0285,0,1014.82,Partly cloudy throughout the day.,2006,4,6,0.866025403784439,-0.5,0.997668769190539,-0.068242413364671,0.478375962530946,-0.87815513348872,False,Light Cloud
Mostly Cloudy,rain,14.9444444444444,14.9444444444444,0.67,7.1645,132,10.3523,0,1014.9,Partly cloudy throughout the day.,2006,4,9,0.866025403784439,-0.5,0.631087944326053,-0.77571129070442,0.738835496277049,-0.673885828194248,True,Heavy Cloud / Rain
Foggy,rain,9.67222222222222,9.18888888888889,0.94,5.7155,123,0.6118,0,1012.26,Foggy starting overnight continuing until morning.,2006,4,1,0.866025403784439,-0.5,0.269796771157024,0.962917287347799,0.835398749923274,-0.549644365591634,True,Heavy Cloud / Rain
Mostly Cloudy,rain,11.5277777777778,11.5277777777778,0.96,3.1556,358,4.508,0,1016.43,Foggy in the morning.,2006,4,22,0.866025403784439,-0.5,-0.269796771157025,0.962917287347799,-0.017501015425829,0.999846845501382,True,Heavy Cloud / Rain
Foggy,rain,9.43888888888889,8.85,0.96,5.9731,326,1.8032,0,1017.23,Foggy in the morning.,2006,4,0,0.866025403784439,-0.5,0,1,-0.545983847636133,0.837795701899004,True,Heavy Cloud / Rain
Overcast,rain,11.4388888888889,11.4388888888889,0.96,6.279,340,3.8801,0,1016.17,Foggy in the morning.,2006,4,1,0.866025403784439,-0.5,0.269796771157024,0.962917287347799,-0.32644140216099,0.945217441097638,True,Heavy Cloud / Rain
Overcast,rain,12.7555555555556,12.7555555555556,0.96,7.9695,1,4.025,0,1017.06,Foggy in the morning.,2006,4,7,0.866025403784439,-0.5,0.94226092211882,-0.334879612170986,0.017501015425829,0.999846845501382,True,Heavy Cloud / Rain
Partly Cloudy,rain,17.2444444444444,17.2444444444444,0.75,7.1645,308,11.27,0,1017.53,Foggy in the morning.,2006,4,11,0.866025403784439,-0.5,0.136166649096247,-0.990685946036331,-0.77870393138964,0.627391574089355,False,Light Cloud
Partly Cloudy,rain,15.0833333333333,15.0833333333333,0.82,3.6869,23,11.27,0,1016.52,Foggy in the morning.,2006,4,17,0.866025403784439,-0.5,-0.997668769190539,-0.068242413364671,0.391760171834918,0.920067371317924,False,Light Cloud
Mostly Cloudy,rain,12.3888888888889,12.3888888888889,0.98,3.4293,349,6.2951,0,1017.72,Foggy starting overnight continuing until morning.,2006,4,7,0.866025403784439,-0.5,0.94226092211882,-0.334879612170986,-0.174126935338113,0.984723215116693,True,Heavy Cloud / Rain
Clear,rain,10.5555555555556,10.5555555555556,0.95,6.0375,290,14.812,0,1015.83,Foggy in the morning.,2006,4,22,0.866025403784439,-0.5,-0.269796771157025,0.962917287347799,-0.934777328459292,0.355234213158739,False,Clear
Partly Cloudy,rain,10.25,10.25,0.95,5.2969,278,4.7495,0,1017.13,Foggy in the morning.,2006,4,0,0.866025403784439,-0.5,0,1,-0.988296708724972,0.152543815093855,False,Light Cloud
Partly Cloudy,rain,18.7333333333333,18.7333333333333,0.68,3.22,300,9.982,0,1016.23,Foggy in the morning.,2006,4,7,0.866025403784439,-0.5,0.94226092211882,-0.334879612170986,-0.85864109143405,0.512577287929287,False,Light Cloud
Partly Cloudy,rain,21.0388888888889,21.0388888888889,0.55,6.4883,209,10.0303,0,1016.66,Foggy in the morning.,2006,4,9,0.866025403784439,-0.5,0.631087944326053,-0.77571129070442,-0.49367130363771,-0.869648574979942,False,Light Cloud
Partly Cloudy,rain,21.2166666666667,21.2166666666667,0.41,7.2772,58,11.4471,0,1015.2,Foggy in the morning.,2006,4,15,0.866025403784439,-0.5,-0.816969893010442,-0.576680322114867,0.849538963665218,0.52752587539819,False,Light Cloud
Partly Cloudy,rain,18.0111111111111,18.0111111111111,0.68,0.322,157,9.982,0,1014.78,Foggy in the morning.,2006,4,17,0.866025403784439,-0.5,-0.997668769190539,-0.068242413364671,0.38369380667886,-0.923460374199286,False,Light Cloud
Partly Cloudy,rain,8.87222222222222,8.87222222222222,0.95,1.5295,320,3.3649,0,1017.42,Partly cloudy until evening.,2006,4,2,0.866025403784439,-0.5,0.519583950035434,0.854419404546488,-0.630792758907189,0.775951348545936,False,Light Cloud
Clear,rain,12.0166666666667,12.0166666666667,0.8,6.2629,169,14.9086,0,1019.91,Partly cloudy starting in the morning.,2006,4,1,0.866025403784439,-0.5,0.269796771157024,0.962917287347799,0.182737426164013,-0.983161753262886,False,Clear
Partly Cloudy,rain,10.6277777777778,10.6277777777778,0.86,9.7083,151,14.0875,0,1020.39,Partly cloudy starting in the morning.,2006,4,3,0.866025403784439,-0.5,0.730835964278124,0.682553143218654,0.478375962530946,-0.87815513348872,False,Light Cloud
Partly Cloudy,rain,17.3388888888889,17.3388888888889,0.74,12.1877,150,9.982,0,1020.94,Partly cloudy starting in the morning.,2006,4,7,0.866025403784439,-0.5,0.94226092211882,-0.334879612170986,0.49367130363771,-0.869648574979942,False,Light Cloud
Partly Cloudy,rain,21.2611111111111,21.2611111111111,0.57,9.9176,147,10.3523,0,1020.53,Partly cloudy starting in the morning.,2006,4,9,0.866025403784439,-0.5,0.631087944326053,-0.77571129070442,0.538631523798678,-0.842541442049181,False,Light Cloud
Mostly Cloudy,rain,22.9388888888889,22.9388888888889,0.5,8.5491,155,11.2056,0,1019.95,Partly cloudy starting in the morning.,2006,4,11,0.866025403784439,-0.5,0.136166649096247,-0.990685946036331,0.415776805045504,-0.909466683494318,True,Heavy Cloud / Rain
Mostly Cloudy,rain,23.9277777777778,23.9277777777778,0.47,11.3022,153,11.3988,0,1019.43,Partly cloudy starting in the morning.,2006,4,12,0.866025403784439,-0.5,-0.136166649096246,-0.990685946036331,0.447350417717581,-0.894358766808883,True,Heavy Cloud / Rain
Clear,rain,9.97222222222223,9.97222222222223,0.92,1.5617,106,10.9802,0,1017.62,Mostly cloudy starting overnight continuing until night.,2006,4,4,0.866025403784439,-0.5,0.887885218402375,0.460065037731152,0.959828485212119,-0.280587382067351,False,Clear
Mostly Cloudy,rain,22.3833333333333,22.3833333333333,0.45,9.4829,102,9.982,0,1013.18,Mostly cloudy starting overnight continuing until night.,2006,4,16,0.866025403784439,-0.5,-0.94226092211882,-0.334879612170986,0.977104570528231,-0.212759625523362,True,Heavy Cloud / Rain
Mostly Cloudy,rain,21.2055555555556,21.2055555555556,0.52,3.6869,101,9.982,0,1013.21,Mostly cloudy starting overnight continuing until night.,2006,4,17,0.866025403784439,-0.5,-0.997668769190539,-0.068242413364671,0.980678432055912,-0.195626718268126,True,Heavy Cloud / Rain
Partly Cloudy,rain,11.4166666666667,11.4166666666667,0.92,6.2307,38,15.2628,0,1012.98,Mostly cloudy throughout the day.,2006,4,3,0.866025403784439,-0.5,0.730835964278124,0.682553143218654,0.617116213637871,0.786872021910334,False,Light Cloud
